# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3]
1000 100
90 2.2375 0.989727 39.7231
91 2.2625 0.972426 41.0849
92 2.2875 0.961433 42.4612
93 2.3125 0.946569 43.846
94 2.3375 0.935361 45.2442
95 2.3625 0.92956 46.6636
96 2.3875 0.924274 48.105
97 2.4125 0.917008 49.5651
98 2.4375 0.923198 51.0657
99 2.4625 0.917361 52.5876
100 2.4875 0.92386 54.1515
4000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000368146 8e-05
37 0.9125 0.00691546 0.00166
38 0.9375 0.0669328 0.01782
39 0.9625 0.268206 0.08606
40 0.9875 0.653202 0.26098
41 1.0125 1.13735 0.58114
42 1.0375 1.53684 1.03534
43 1.0625 1.78581 1.58886
44 1.0875 1.86259 2.19368
45 1.1125 1.85902 2.82544
46 1.1375 1.71668 3.43528
47 1.1625 1.58729 4.02426
48 1.1875 1.47888 4.59686
49 1.2125 1.33279 5.13486
50 1.2375 1.22028 5.64798
51 1.2625 1.11712 6.13688
52 1.2875 1.01876 6.60056
53 1.3125 0.935723 7.04312
54 1.3375 0.873508 7.47216
55 1.3625 0.84818 7.90444
56 1.3875 0.796379 8.32536
57 1.4125 0.776053 8.75048
58 1.4375 0.741022 9.17092
59 1.4625 0.741564 9.60638
60 1.4875 0.740951 10.0565
61 1.5125 0.746661 10.5255
62 1.5375 0.749992 11.0122
63 1.5625 0.740483 11.5086
64 1.5875 0.770564 12.0417
65 1.6125 0.775069 12.5951
66 1.6375 0.790306 13.177
67 1.6625 0.821788 13.8006
68 1.6875 0.825298 14.4458
69 1.7125 0.865043 15.1424
70 1.7375 0.902159 15.8902
71 1.7625 0.931734 16.6849
72 1.7875 0.972555 17.5381
73 1.8125 1.01438 18.453
74 1.8375 1.04176 19.4187
75 1.8625 1.07248 20.4401
76 1.8875 1.10129 21.5173
77 1.9125 1.11478 22.6368
78 1.9375 1.14144 23.8133
79 1.9625 1.14677 25.026
80 1.9875 1.17409 26.2994
81 2.0125 1.16426 27.5942
82 2.0375 1.16394 28.9209
83 2.0625 1.15818 30.2735
84 2.0875 1.12908 31.6243
85 2.1125 1.10991 32.9842
86 2.1375 1.09037 34.352
87 2.1625 1.07037 35.7263
88 2.1875 1.0436 37.0974
89 2.2125 1.0165 38.4637
90 2.2375 1.00225 39.8413
91 2.2625 0.989066 41.2313
92 2.2875 0.962806 42.6145
93 2.3125 0.966784 44.0339
94 2.3375 0.956165 45.4683
95 2.3625 0.947639 46.9205
96 2.3875 0.931593 48.3784
97 2.4125 0.92481 49.8563
98 2.4375 0.91989 51.3569
99 2.4625 0.927094 52.9004
100 2.4875 0.922205 54.4671
5000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000185241 4e-05
37 0.9125 0.00877368 0.00204
38 0.9375 0.0684381 0.0185
39 0.9625 0.275421 0.0883
40 0.9875 0.672442 0.26766
41 1.0125 1.16609 0.59464
42 1.0375 1.53465 1.0465
43 1.0625 1.77422 1.59436
44 1.0875 1.86096 2.19636
45 1.1125 1.83279 2.81682
46 1.1375 1.73536 3.43098
47 1.1625 1.59495 4.02056
48 1.1875 1.469 4.58716
49 1.2125 1.33618 5.12446
50 1.2375 1.20399 5.62876
51 1.2625 1.11536 6.11502
52 1.2875 1.02109 6.57798
53 1.3125 0.942867 7.02226
54 1.3375 0.875799 7.4508
55 1.3625 0.828907 7.8717
56 1.3875 0.792083 8.28878
57 1.4125 0.765328 8.70646
58 1.4375 0.76925 9.14124
59 1.4625 0.747541 9.57856
60 1.4875 0.724632 10.0171
61 1.5125 0.720855 10.4681
62 1.5375 0.709608 10.927
63 1.5625 0.716222 11.4053
64 1.5875 0.740485 11.9157
65 1.6125 0.771944 12.4647
66 1.6375 0.795073 13.0478
67 1.6625 0.828781 13.6743
68 1.6875 0.851602 14.3376
69 1.7125 0.880269 15.0438
70 1.7375 0.921174 15.8044
71 1.7625 0.943005 16.6056
72 1.7875 0.979333 17.4615
73 1.8125 1.01951 18.3775
74 1.8375 1.04665 19.3442
75 1.8625 1.08365 20.3723
76 1.8875 1.11126 21.4552
77 1.9125 1.13031 22.586
78 1.9375 1.14979 23.7665
79 1.9625 1.1679 24.9967
80 1.9875 1.17182 26.2628
81 2.0125 1.17309 27.5623
82 2.0375 1.1539 28.8725
83 2.0625 1.14771 30.2079
84 2.0875 1.13516 31.5609
85 2.1125 1.11762 32.9251
86 2.1375 1.08483 34.2808
87 2.1625 1.06001 35.6367
88 2.1875 1.03493 36.9912
89 2.2125 1.01995 38.3568
90 2.2375 1.00168 39.7285
91 2.2625 0.975994 41.095
92 2.2875 0.965855 42.4774
93 2.3125 0.960756 43.8827
94 2.3375 0.940492 45.2882
95 2.3625 0.934592 46.715
96 2.3875 0.925255 48.1576
97 2.4125 0.922913 49.6267
98 2.4375 0.918881 51.12
99 2.4625 0.910003 52.6294
100 2.4875 0.916239 54.18
6000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.00100715 0.00022
37 0.9125 0.00980518 0.00248
38 0.9375 0.0776792 0.02138
39 0.9625 0.276639 0.0923
40 0.9875 0.656256 0.26942
41 1.0125 1.14175 0.59338
42 1.0375 1.5589 1.0578
43 1.0625 1.79302 1.61798
44 1.0875 1.87895 2.23294
45 1.1125 1.84926 2.86638
46 1.1375 1.7666 3.49892
47 1.1625 1.63058 4.1087
48 1.1875 1.473 4.68354
49 1.2125 1.33678 5.22742
50 1.2375 1.18799 5.73092
51 1.2625 1.1012 6.21666
52 1.2875 1.01591 6.68266
53 1.3125 0.952394 7.13666
54 1.3375 0.887221 7.57592
55 1.3625 0.831894 8.00334
56 1.3875 0.782935 8.42046
